,Date,Time,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,Stage,SpecialWinConditions,Stadium,City,Attendance,Year
220,18 June 2012 (2012-06-18),20:45 CEST,Croatia,Spain,0,1,Group C,,PGE Arena, Gdańsk,39076,2012
221,18 June 2012 (2012-06-18),20:45 CEST,Italy,Republic of Ireland,2,0,Group C,,Stadion Miejski, Poznań,38794,2012
222,11 June 2012 (2012-06-11),19:00 EEST,France,England,1,1,Group D,,Donbass Arena, Donetsk,47400,2012
223,11 June 2012 (2012-06-11),21:45 EEST,Ukraine,Sweden,2,1,Group D,,Olympic Stadium, Kiev,64290,2012
224,15 June 2012 (2012-06-15),19:00 EEST,Ukraine,France,0,2,Group D,,Donbass Arena, Donetsk,48000,2012
225,15 June 2012 (2012-06-15),22:00 EEST[note 1],Sweden,England,2,3,Group D,,Olympic Stadium, Kiev,64640,2012
226,19 June 2012 (2012-06-19),21:45 EEST,England,Ukraine,1,0,Group D,,Donbass Arena, Donetsk,48700,2012
227,19 June 2012 (2012-06-19),21:45 EEST,Sweden,France,2,0,Group D,,Olympic Stadium, Kiev,63010,2012
228,21 June 2012 (2012-06-21),20:45 CEST,Czech Republic,Portugal,0,1,Quarter-finals,,National Stadium, Warsaw,55590,2012
229,22 June 2012 (2012-06-22),20:45 CEST,Germany,Greece,4,2,Quarter-finals,,PGE Arena, Gdańsk,38751,2012
230,23 June 2012 (2012-06-23),21:45 EEST,Spain,France,2,0,Quarter-finals,,Donbass Arena, Donetsk,47000,2012
231,24 June 2012 (2012-06-24),21:45 EEST,England,Italy,0,0,Quarter-finals, Italy win on Penalities 2–4,Olympic Stadium, Kiev,64340,2012
232,27 June 2012 (2012-06-27),21:45 EEST,Portugal,Spain,0,0,Semi-finals, Spain win on Penalities 2–4,Donbass Arena, Donetsk,48000,2012
233,28 June 2012 (2012-06-28),20:45 CEST,Germany,Italy,1,2,Semi-finals,,National Stadium, Warsaw,55540,2012
234,1 July 2012 (2012-07-01),21:45 EEST,Spain,Italy,4,0,Final,,Olympic Stadium, Kiev,63170,2012
235,10 June 2016 (2016-06-10),21:00,France,Romania,2,1,Group A,,Stade de France, Saint-Denis,75113,2016
236,11 June 2016 (2016-06-11),15:00,Albania,Switzerland,0,1,Group A,,Stade Bollaert-Delelis, Lens,33805,2016
237,15 June 2016 (2016-06-15),18:00,Romania,Switzerland,1,1,Group A,,Parc des Princes, Paris,43576,2016
238,15 June 2016 (2016-06-15),21:00,France,Albania,2,0,Group A,,Stade Vélodrome, Marseille,63670,2016
239,19 June 2016 (2016-06-19),21:00,Romania,Albania,0,1,Group A,,Parc Olympique Lyonnais, Décines-Charpieu,49752,2016
240,19 June 2016 (2016-06-19),21:00,Switzerland,France,0,0,Group A,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,45616,2016
241,11 June 2016 (2016-06-11),18:00,Wales,Slovakia,2,1,Group B,,Nouveau Stade de Bordeaux, Bordeaux,37831,2016
242,11 June 2016 (2016-06-11),21:00,England,Russia,1,1,Group B,,Stade Vélodrome, Marseille,62343,2016
243,15 June 2016 (2016-06-15),15:00,Russia,Slovakia,1,2,Group B,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,38989,2016
244,16 June 2016 (2016-06-16),15:00,England,Wales,2,1,Group B,,Stade Bollaert-Delelis, Lens,34033,2016
245,20 June 2016 (2016-06-20),21:00,Russia,Wales,0,3,Group B,,Stadium Municipal, Toulouse,28840,2016
246,20 June 2016 (2016-06-20),21:00,Slovakia,England,0,0,Group B,,Stade Geoffroy-Guichard, Saint-Étienne,39051,2016
247,12 June 2016 (2016-06-12),18:00,Poland,Northern Ireland,1,0,Group C,,Stade de Nice, Nice,33742,2016
248,12 June 2016 (2016-06-12),21:00,Germany,Ukraine,2,0,Group C,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,43035,2016
249,16 June 2016 (2016-06-16),18:00,Ukraine,Northern Ireland,0,2,Group C,,Parc Olympique Lyonnais, Décines-Charpieu,51043,2016
250,16 June 2016 (2016-06-16),21:00,Germany,Poland,0,0,Group C,,Stade de France, Saint-Denis,73648,2016
251,21 June 2016 (2016-06-21),18:00,Ukraine,Poland,0,1,Group C,,Stade Vélodrome, Marseille,58874,2016
252,21 June 2016 (2016-06-21),18:00,Northern Ireland,Germany,0,1,Group C,,Parc des Princes, Paris,44125,2016
253,12 June 2016 (2016-06-12),15:00,Turkey,Croatia,0,1,Group D,,Parc des Princes, Paris,43842,2016
254,13 June 2016 (2016-06-13),15:00,Spain,Czech Republic,1,0,Group D,,Stadium Municipal, Toulouse,29400,2016
255,17 June 2016 (2016-06-17),18:00,Czech Republic,Croatia,2,2,Group D,,Stade Geoffroy-Guichard, Saint-Étienne,38376,2016
256,17 June 2016 (2016-06-17),21:00,Spain,Turkey,3,0,Group D,,Stade de Nice, Nice,33409,2016
257,21 June 2016 (2016-06-21),21:00,Czech Republic,Turkey,0,2,Group D,,Stade Bollaert-Delelis, Lens,32836,2016
258,21 June 2016 (2016-06-21),21:00,Croatia,Spain,2,1,Group D,,Nouveau Stade de Bordeaux, Bordeaux,37245,2016
259,13 June 2016 (2016-06-13),18:00,Republic of Ireland,Sweden,1,1,Group E,,Stade de France, Saint-Denis,73419,2016
260,13 June 2016 (2016-06-13),21:00,Belgium,Italy,0,2,Group E,,Parc Olympique Lyonnais, Décines-Charpieu,55408,2016
261,17 June 2016 (2016-06-17),15:00,Italy,Sweden,1,0,Group E,,Stadium Municipal, Toulouse,29600,2016
262,18 June 2016 (2016-06-18),15:00,Belgium,Republic of Ireland,3,0,Group E,,Nouveau Stade de Bordeaux, Bordeaux,39493,2016
263,22 June 2016 (2016-06-22),21:00,Italy,Republic of Ireland,0,1,Group E,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,44268,2016
264,22 June 2016 (2016-06-22),21:00,Sweden,Belgium,0,1,Group E,,Stade de Nice, Nice,34011,2016
265,14 June 2016 (2016-06-14),18:00,Austria,Hungary,0,2,Group F,,Nouveau Stade de Bordeaux, Bordeaux,34424,2016
266,14 June 2016 (2016-06-14),21:00,Portugal,Iceland,1,1,Group F,,Stade Geoffroy-Guichard, Saint-Étienne,38742,2016
267,18 June 2016 (2016-06-18),18:00,Iceland,Hungary,1,1,Group F,,Stade Vélodrome, Marseille,60842,2016
268,18 June 2016 (2016-06-18),21:00,Portugal,Austria,0,0,Group F,,Parc des Princes, Paris,44291,2016
269,22 June 2016 (2016-06-22),18:00,Iceland,Austria,2,1,Group F,,Stade de France, Saint-Denis,68714,2016
270,22 June 2016 (2016-06-22),18:00,Hungary,Portugal,3,3,Group F,,Parc Olympique Lyonnais, Décines-Charpieu,55514,2016
271,25 June 2016 (2016-06-25),15:00,Switzerland,Poland,1,1,Round of 16, Poland win on Penalities 4–5,Stade Geoffroy-Guichard, Saint-Étienne,38842,2016
272,25 June 2016 (2016-06-25),18:00,Wales,Northern Ireland,1,0,Round of 16,,Parc des Princes, Paris,44342,2016
273,25 June 2016 (2016-06-25),21:00,Croatia,Portugal,0,1,Round of 16, Portugal win after extra time ,Stade Bollaert-Delelis, Lens,33523,2016
274,26 June 2016 (2016-06-26),15:00,France,Republic of Ireland,2,1,Round of 16,,Parc Olympique Lyonnais, Décines-Charpieu,56279,2016
275,26 June 2016 (2016-06-26),18:00,Germany,Slovakia,3,0,Round of 16,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,44312,2016
276,26 June 2016 (2016-06-26),21:00,Hungary,Belgium,0,4,Round of 16,,Stadium Municipal, Toulouse,28921,2016
277,27 June 2016 (2016-06-27),18:00,Italy,Spain,2,0,Round of 16,,Stade de France, Saint-Denis,76165,2016
278,27 June 2016 (2016-06-27),21:00,England,Iceland,1,2,Round of 16,,Stade de Nice, Nice,33901,2016
279,30 June 2016 (2016-06-30),21:00,Poland,Portugal,1,1,Quarter-finals, Portugal win on Penalities 3–5,Stade Vélodrome, Marseille,62940,2016
280,1 July 2016 (2016-07-01),21:00,Wales,Belgium,3,1,Quarter-finals,,Stade Pierre-Mauroy, Villeneuve-d'Ascq,45936,2016
281,2 July 2016 (2016-07-02),21:00,Germany,Italy,1,1,Quarter-finals,Germany  win on Penalities 6–5,Nouveau Stade de Bordeaux, Bordeaux,38764,2016
282,3 July 2016 (2016-07-03),21:00,France,Iceland,5,2,Quarter-finals,,Stade de France, Saint-Denis,76833,2016
283,6 July 2016 (2016-07-06),21:00,Portugal,Wales,2,0,Semi-finals,,Parc Olympique Lyonnais, Décines-Charpieu,55679,2016
284,7 July 2016 (2016-07-07),21:00,Germany,France,0,2,Semi-finals,,Stade Vélodrome, Marseille,64078,2016
285,10 July 2016 (2016-07-10),21:00,Portugal,France,1,0,Final,Portugal  win after extra time ,Stade de France, Saint-Denis,75868,2016
